seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_20170222.pdf in page 5436:   '$1.243.475.684', '$68.233.062'
CtIDH_Casos_Esp_20170222.pdf in page 5475:   '$12.348.000', '$480.972.101', '$1.416.293', '$36.153.700', '$404.529.123', '$38.872.985', '$494.909.448', '$502.067.080', '$548.678.121', '$552.599.373', '$555.570.018', '$565.313.886', '$567.512.010', '$560.323.049', '$548.559.295', '$582.246.410', '$575.295.1'
CtIDH_Casos_Esp_20170222.pdf in page 5476:   '$594.128.990'
CtIDH_Casos_Esp_20170222.pdf in page 5670:   '$500.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 5673:   '$20.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 5746:   '$3.0', '$3.009.90'
CtIDH_Casos_Esp_20170222.pdf in page 5749:   '$141.081,00', '$288,48', '$136.167,00', '$278.432,00', '$133.059', '$136.439.00', '$126.888.00', '$9.551.00', '$14.880.00', '$25.500.00', '$14.188.016', '$234.626,00'
CtIDH_Casos_Esp_20170222.pdf in page 5750:   '$3.000.000', '$140.943.00', '$3.000.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 5786:   '$490.000', '$1.031,5'
CtIDH_Casos_Esp_20170222.pdf in page 5881:   '$500.000'
CtIDH_Casos_Esp_20170222.pdf in page 5885:   '$50.000'
CtIDH_Casos_Esp_20170222.pdf in page 5886:   '$43.797,59', '$50.000'
CtIDH_Casos_Esp_20170222.pdf in page 5995:   '$12.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 6100:   '$250,000', '$30,000', '$20,000'
CtIDH_Casos_Esp_20170222.pdf in page 6133:   '$2.000,00', '$50.000', '$20.000,00', '$300,00', '$80,00', '$150,00', '$120,00', '$586,19', '$118,48', '$630,89', '$527,27', '$180', '$8.045,08', '$7.345,50', '$1.500,00', '$11.800,00', '$8.000,00', '$8.500,00', '$28.000,00', '$20.990,00', '$12.810,00', '$12.810,00', '$20.902,04', '$18.340,00', '$14.000,00', '$4.005,61', '$6.540,00', '$12.040,00', '$1.413,14', '$6.086,09', '$923,12', '$2.410,16', '$273,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 6134:   '$300'
CtIDH_Casos_Esp_20170222.pdf in page 6135:   '$10,000'
CtIDH_Casos_Esp_20170222.pdf in page 6297:   '$1,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 6298:   '$2,000.00', '$10,00', '$30,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 6299:   '$5,000.00', '$3,500.00', '$3,500.00', '$1,500.00', '$3,500'
CtIDH_Casos_Esp_20170222.pdf in page 6300:   '$3,693.58'
CtIDH_Casos_Esp_20170222.pdf in page 6301:   '$3,693.58'
CtIDH_Casos_Esp_20170222.pdf in page 6338:   '$270.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 6339:   '$181.000'
CtIDH_Casos_Esp_20170222.pdf in page 6343:   '$5,758,759'
CtIDH_Casos_Esp_20170222.pdf in page 6396:   '$5.000.000'
CtIDH_Casos_Esp_20170222.pdf in page 6401:   '$4.365.109.584', '$1.393.649.934', '$535.600', '$401.700', '$502.125', "$6'025", '$361.530', "$6'387"
CtIDH_Casos_Esp_20170222.pdf in page 6404:   '$5.758.759.019,20'
CtIDH_Casos_Esp_20170222.pdf in page 6604:   '$3500', '$4500', '$654.435,84', '$466.651,98'
CtIDH_Casos_Esp_20170222.pdf in page 6607:   '$1.376,96'
CtIDH_Casos_Esp_20170222.pdf in page 6735:   '$54.600', '$27.300', '$27.300'
CtIDH_Casos_Esp_20170222.pdf in page 6739:   '$7,539.42', '$7,539.42'
CtIDH_Casos_Esp_20170222.pdf in page 6878:   '$7.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 6886:   '$100.000,00', '$65.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 6887:   '$80.000,00', '$40.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 6888:   '$20.000', '$165.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 6889:   '$15.000'
CtIDH_Casos_Esp_20170222.pdf in page 7145:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 7147:   '$771'
CtIDH_Casos_Esp_20170222.pdf in page 7257:   '$25,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 7258:   '$30,000.00', '$25,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 7259:   '$15,000.00', '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 7262:   '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 7407:   '$250,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 7455:   '$20.000', '$15.000'
CtIDH_Casos_Esp_20170222.pdf in page 7456:   '$20,000', '$15,000', '$15,000'
CtIDH_Casos_Esp_20170222.pdf in page 7460:   '$20.000'
CtIDH_Casos_Esp_20170222.pdf in page 7462:   '$175.000,00', '$1.068.000', '$3.325.605,65'
CtIDH_Casos_Esp_20170222.pdf in page 7463:   '$75.000,00', '$2.153,87', '$1.200', '$3.840.347,20'
CtIDH_Casos_Esp_20170222.pdf in page 7464:   '$140.000', '$100.000', '$50.000', '$40.000', '$150.0', '$140.000'
CtIDH_Casos_Esp_20170222.pdf in page 7465:   '$1.602,27', '$10.000'
CtIDH_Casos_Esp_20170222.pdf in page 7466:   '$1.842,27'
CtIDH_Casos_Esp_20170222.pdf in page 7547:   '$859,44', '$880,00', '$220,00'
CtIDH_Casos_Esp_20170222.pdf in page 7576:   '$38.000', '$38.000'
CtIDH_Casos_Esp_20170222.pdf in page 7799:   '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 8010:   '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8011:   '$20,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8012:   '$80,000.00', '$40,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8101:   '$62.205', '$38.752'
CtIDH_Casos_Esp_20170222.pdf in page 8102:   '$47.400', '$96.600'
CtIDH_Casos_Esp_20170222.pdf in page 8103:   '$12.560.000', '$5.775.000', '$268.000'
CtIDH_Casos_Esp_20170222.pdf in page 8104:   '$80.200', '$20.200', '$53.200', '$91.400'
CtIDH_Casos_Esp_20170222.pdf in page 8105:   '$2000', '$56.000'
CtIDH_Casos_Esp_20170222.pdf in page 8136:   '$1.500.000,00', '$150', '$60.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 8279:   '$600,00', '$2,000.00', '$3.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 8280:   '$253.671,00', '$271,882', '$329.858,00', '$297.158,00', '$312.548,00'
CtIDH_Casos_Esp_20170222.pdf in page 8328:   '$65,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8330:   '$50.000,00', '$15.000,00', '$3.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 8445:   '$50.000'
CtIDH_Casos_Esp_20170222.pdf in page 8553:   '$4.239,58'
CtIDH_Casos_Esp_20170222.pdf in page 8600:   '$35.000'
CtIDH_Casos_Esp_20170222.pdf in page 8612:   '$1000', '$4000'
CtIDH_Casos_Esp_20170222.pdf in page 8731:   '$150.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8802:   '$695,00', '$8,225.00', '$506,970.00', '$5,955.00'
CtIDH_Casos_Esp_20170222.pdf in page 8803:   '$40,000.00', '$506', '$5,955.00', '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8804:   '$5,000.00', '$2,000.00', '$80,000.00', '$75,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8805:   '$50,000.00', '$35,000.00', '$10,000.00', '$5,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8806:   '$35,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8807:   '$35,000.00', '$4,614.00'
CtIDH_Casos_Esp_20170222.pdf in page 8809:   '$10,043.02', '$10,043.02', '$482,00', '$1.900,00', '$1.915,00'
CtIDH_Casos_Esp_20170222.pdf in page 8854:   '$570', '$358.033,58', '$194.895,81', '$163.137,58'
CtIDH_Casos_Esp_20170222.pdf in page 8855:   '$358.033,58', '$6.076.00', '$570.772,86', '$194.895,81', '$163.137,58', '$163.137,58', '$358.033,59'
CtIDH_Casos_Esp_20170222.pdf in page 8856:   '$26,000.00', '$384,033.59', '$15,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8857:   '$30.000', '$4.022,88', '$34.000'
CtIDH_Casos_Esp_20170222.pdf in page 8858:   '$15,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8970:   '$30,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8971:   '$264.00', '$360.00', '$20,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8972:   '$80,000.00', '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8973:   '$20,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8974:   '$15,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 8975:   '$10,000.00', '$2,568.12'
CtIDH_Casos_Esp_20170222.pdf in page 9043:   '$70.000', '$16.310.000'
CtIDH_Casos_Esp_20170222.pdf in page 9062:   '$130,60', '$84.326.787,50'
CtIDH_Casos_Esp_20170222.pdf in page 9063:   '$42.180.504,47', '$1.174.735,00', '$43.355.239,47', '$9,36', '$6.043.635,25', '$56.730.723,69'
CtIDH_Casos_Esp_20170222.pdf in page 9064:   '$78.09', '$50.421.736,00', '$5.145.319,00', '$55.567.055,00', '$106'
CtIDH_Casos_Esp_20170222.pdf in page 9065:   '$63,83', '$41.214.233,12', '$669.146,00', '$28,19', '$18.201.930,62', '$41.214.2333', '$63,83', '$7.440', '$669.146', '$41.890.819,12', '$669.146'
CtIDH_Casos_Esp_20170222.pdf in page 9066:   '$58.111.875'
CtIDH_Casos_Esp_20170222.pdf in page 9067:   '$65,33', '$42.180.504,47', '$1.174.735,00', '$65.33', '$1.174.735', '$150', '$2.166.585'
CtIDH_Casos_Esp_20170222.pdf in page 9068:   '$6.043.635,2', '$9,36', '$1,52', '$8,19', '$47,52'
CtIDH_Casos_Esp_20170222.pdf in page 9072:   '$55.567.055,00', '$41.883,379,12'
CtIDH_Casos_Esp_20170222.pdf in page 9073:   '$18.201.930,62', '$41.214.233,12', '$58.111.875,00', '$42.180.504,47', '$1.174.735,00', '$6.043.635,25'
CtIDH_Casos_Esp_20170222.pdf in page 9079:   '$18,705,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9080:   '$56.730.723,69', '$9.032.00', '$300.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 9083:   '$9,435.757,80', '$25.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9085:   '$10,000.00', '$23.984,82', '$23.984,82'
CtIDH_Casos_Esp_20170222.pdf in page 9086:   '$33.805,84', '$23.984,82'
CtIDH_Casos_Esp_20170222.pdf in page 9087:   '$33.805,84', '$874.45'
CtIDH_Casos_Esp_20170222.pdf in page 9088:   '$10.300,06', '$43.099,10'
CtIDH_Casos_Esp_20170222.pdf in page 9089:   '$46.083,58', '$52.270,00', '$27.269,64', '$7.740,24', '$25.000,58', '$46,083,58', '$23.622.36', '$22.461.22'
CtIDH_Casos_Esp_20170222.pdf in page 9090:   '$106.093,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 9095:   '$18,705,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9096:   '$18™201'
CtIDH_Casos_Esp_20170222.pdf in page 9111:   '$18,705,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9193:   '$300.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 9194:   '$100.000,00', '$80,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9647:   '$263,250.00'
CtIDH_Casos_Esp_20170222.pdf in page 9648:   '$900.00', '$450.00', '$157,950.00', '$29,057.00'
CtIDH_Casos_Esp_20170222.pdf in page 9649:   '$130,000.00', '$300,150.00', '$1,300.00', '$12,865.12', '$13,572.00'
CtIDH_Casos_Esp_20170222.pdf in page 9650:   '$75,000.00', '$70,000.00', '$40,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9651:   '$5,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9652:   '$700,000.00', '$250,000.00', '$100,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9653:   '$80,000.00', '$50,000.00', '$40,000.00', '$70,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9654:   '$90,000.00', '$1,697.00', '$3,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9655:   '$3,000.00', '$15,000.00', '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9749:   '$60.000,00', '$8.000,00', '$1.000,00', '$37.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 9750:   '$18.500,0', '$613.552,00'
CtIDH_Casos_Esp_20170222.pdf in page 9752:   '$3.517,14', '$23.584,05', '$250.00'
CtIDH_Casos_Esp_20170222.pdf in page 9862:   '$5.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 9946:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 9953:   '$10.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 9954:   '$700.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 9955:   '$260'
CtIDH_Casos_Esp_20170222.pdf in page 9956:   '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10064:   '$80,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10158:   '$1.000,00', '$1,125.00'
CtIDH_Casos_Esp_20170222.pdf in page 10159:   '$185,000.00', '$1,000.00', '$20,000.00', '$129,310.00', '$497,310.00', '$23,479.32'
CtIDH_Casos_Esp_20170222.pdf in page 10160:   '$75.000,00', '$80,000.00', '$50,000', '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10161:   '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10162:   '$80.000.00', '$40.000,00', '$50.000,00', '$10,000.00', '$15,000.00', '$6,200.00'
CtIDH_Casos_Esp_20170222.pdf in page 10163:   '$10,000.00', '$458,189.00', '$20,000.00', '$13,911.05', '$347', '$357,089.00', '$169.400.00'
CtIDH_Casos_Esp_20170222.pdf in page 10164:   '$91,589.00', '$81,689.00'
CtIDH_Casos_Esp_20170222.pdf in page 10165:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10248:   '$5,499.34', '$3,354.92', '$60,681.11'
CtIDH_Casos_Esp_20170222.pdf in page 10250:   '$20.000.00', '$40.000.00', '$30.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10251:   '$96.92', '$9,885.38', '$11,189.29', '$20,455.95'
CtIDH_Casos_Esp_20170222.pdf in page 10252:   '$9.500.00', '$27.000.00', '$96.92'
CtIDH_Casos_Esp_20170222.pdf in page 10366:   '$343,816.95'
CtIDH_Casos_Esp_20170222.pdf in page 10367:   '$65,640.98', '$12,000.00', '$17,400.00'
CtIDH_Casos_Esp_20170222.pdf in page 10368:   '$1,300.00', '$30,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10369:   '$80,000.00', '$40,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10370:   '$18,000', '$325,000', '$83,700'
CtIDH_Casos_Esp_20170222.pdf in page 10371:   '$2,910,686.99', '$25,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 10434:   '$30.000'
CtIDH_Casos_Esp_20170222.pdf in page 10571:   '$529.000.000,00', '$290.000.000,00', '$112.300.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10586:   '$136,656.00', '$34,164.00', '$34,164.00', '$34,164.00', '$34,164.00', '$273,312.00', '$551.874,27', '$504.602,62'
CtIDH_Casos_Esp_20170222.pdf in page 10587:   '$136,656.00', '$136,656.00', '$114.200,00', '$1,00', '$30.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10588:   '$83.000,00', '$60.000,00', '$83.660,00'
CtIDH_Casos_Esp_20170222.pdf in page 10591:   '$10.000,00', '$150,00', '$150,00'
CtIDH_Casos_Esp_20170222.pdf in page 10592:   '$600,00', '$1.050,00'
CtIDH_Casos_Esp_20170222.pdf in page 10594:   '$145.500,00', '$134.000,00', '$140.500,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10595:   '$10.000,00', '$40.000,00', '$15.000,00', '$11.000,00', '$12.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$11.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10596:   '$11.000,00', '$38.000,00', '$15.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$40.000,00', '$18.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10597:   '$44.776,11', '$205.351,85', '$14.490,74', '$33.230,00', '$284.498,00'
CtIDH_Casos_Esp_20170222.pdf in page 10598:   '$244'
CtIDH_Casos_Esp_20170222.pdf in page 10785:   '$900,00', '$1.000,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10786:   '$124.273,00', '$248.546,00', '$186.410,00', '$140.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10787:   '$100.000,00', '$80.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10788:   '$80.000,00', '$50.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10789:   '$225,00', '$7.000,00', '$5.500,00', '$14.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 10893:   '$16.956,60'
CtIDH_Casos_Esp_20170222.pdf in page 11018:   '$600.00', '$600.00', '$800.00', '$300.00'
CtIDH_Casos_Esp_20170222.pdf in page 11019:   '$1,000.00', '$303.849.00'
CtIDH_Casos_Esp_20170222.pdf in page 11020:   '$70,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11021:   '$20,000.00', '$20,000.00', '$10,000.00', '$5,000.00', '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11028:   '$11,546.77', '$8,465.48', '$20,012.25'
CtIDH_Casos_Esp_20170222.pdf in page 11029:   '$15,695.00', '$19,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11357:   '$30,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 11361:   '$11,610.71'
CtIDH_Casos_Esp_20170222.pdf in page 11362:   '$5,072.44', '$11,600', '$15,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11431:   '$1.702.944.360,47'
CtIDH_Casos_Esp_20170222.pdf in page 11432:   '$1.421.039.360,47', '$369.019.165,72', '$400.250.887,61', '$408.448.263,34', '$238.275.467,80'
CtIDH_Casos_Esp_20170222.pdf in page 11489:   '$2.004,75', '$1.027,00', '$360,477,00', '$81,00', '$950,00', '$1.104,00', '$1.027,00'
CtIDH_Casos_Esp_20170222.pdf in page 11490:   '$488,00', '$170,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11491:   '$6,720.00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 11492:   '$4,500.00', '$1,500.00', '$500.00'
CtIDH_Casos_Esp_20170222.pdf in page 11493:   '$100.000,00', '$60.000,00', '$25.000,00', '$1.500.00', '$2.000.00', '$2.400.00'
CtIDH_Casos_Esp_20170222.pdf in page 11496:   '$52.000,00', '$50.000,00', '$60.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 11497:   '$15,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11504:   '$1.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 11505:   '$1.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 11521:   '$260,000.00', '$1,219.82'
CtIDH_Casos_Esp_20170222.pdf in page 11554:   '$11,97', '$5,421.31', '$180,21', '$213,67', '$869,74', '$4,157'
CtIDH_Casos_Esp_20170222.pdf in page 11556:   '$3,500', '$6,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11568:   '$150.000,00', '$150.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 11621:   '$15,000.00', '$3,000.00', '$42,300.00', '$2,000,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11622:   '$18,000.00', '$15,000.00', '$35,000.00', '$30,000.00', '$65,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11625:   '$18,000.00', '$22,000.00', '$7,500', '$3,750,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11627:   '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11628:   '$50,000.00', '$2,113.00', '$57,051.00', '$1,013.00', '$2,113.00', '$5,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11630:   '$1,500,000.00', '$19,500,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11631:   '$100,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11635:   '$170,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11636:   '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 11702:   '$57.800,00'
CtIDH_Casos_Esp_20170222.pdf in page 12069:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_20170222.pdf in page 12070:   '$55.567.055,00', '$50.421.736'
CtIDH_Casos_Esp_20170222.pdf in page 12113:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12159:   '$30.000', '$30.000'
CtIDH_Casos_Esp_20170222.pdf in page 12329:   '$365,781,00'
CtIDH_Casos_Esp_20170222.pdf in page 12330:   '$2,000,000.00', '$1,000,000,00', '$250,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12331:   '$25,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 12333:   '$1,547.36', '$75,600.00', '$40,000.00', '$20,000.00', '$4,000.00', '$30,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 12348:   '$10.444,77'
CtIDH_Casos_Esp_20170222.pdf in page 12398:   '$150.000,00', '$150.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12399:   '$1.150,09', '$1.150,09', '$6.267,59', '$1.624,93', '$350.000,00', '$175.492,44', '$3.038,87', '$818,15', '$818,15', '$13.500.000', '$3.500.000'
CtIDH_Casos_Esp_20170222.pdf in page 12400:   '$66.796,70', '$15.026,68', '$20.000,00', '$135.729,07', '$40.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12401:   '$12.000,00', '$14.500,00', '$114', '$26.588,54', '$16.143,77', '$16.143,77'
CtIDH_Casos_Esp_20170222.pdf in page 12402:   '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12403:   '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12408:   '$235.813,21', '$9.941,55', '$150.000,00', '$30.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12409:   '$5.000,00', '$3.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 12510:   '$40,987,32', '$14,055.24', '$865.38', '$3,365,96'
CtIDH_Casos_Esp_20170222.pdf in page 12511:   '$13.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12561:   '$7.500'
CtIDH_Casos_Esp_20170222.pdf in page 12569:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12622:   '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12626:   '$10.000,00', '$1.871,63'
CtIDH_Casos_Esp_20170222.pdf in page 12670:   '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12671:   '$55.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12720:   '$15.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12721:   '$4.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12727:   '$150,00', '$296.73'
CtIDH_Casos_Esp_20170222.pdf in page 12728:   '$737,00', '$212,10'
CtIDH_Casos_Esp_20170222.pdf in page 12938:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12939:   '$25.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 12940:   '$8.000,00', '$10.000,00', '$3.000,00', '$9.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13052:   '$2.500'
CtIDH_Casos_Esp_20170222.pdf in page 13158:   '$448,761,412', '$2,000', '$50.000'
CtIDH_Casos_Esp_20170222.pdf in page 13162:   '$200'
CtIDH_Casos_Esp_20170222.pdf in page 13163:   '$300,00'
CtIDH_Casos_Esp_20170222.pdf in page 13165:   '$10.000,00', '$15.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13166:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13167:   '$30.000,00', '$10.000,00', '$1.500,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13318:   '$3.000', '$16.000'
CtIDH_Casos_Esp_20170222.pdf in page 13440:   '$56.000,00', '$347.321,00', '$10.000.000'
CtIDH_Casos_Esp_20170222.pdf in page 13441:   '$450.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13446:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13548:   '$50.000,00', '$5.000,00', '$3.000,00', '$10.000'
CtIDH_Casos_Esp_20170222.pdf in page 13549:   '$8.000,00', '$8.000,00', '$3.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13555:   '$10.000,00', '$8.000,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13647:   '$28.881,90', '$28.299,62', '$27.135,03', '$27.023,15'
CtIDH_Casos_Esp_20170222.pdf in page 13648:   '$150', '$175.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13649:   '$27,145.44', '$10,213.97'
CtIDH_Casos_Esp_20170222.pdf in page 13653:   '$10.000,00', '$10.000,00', '$10.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13654:   '$1.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 13655:   '$25.000,00', '$5.000,00', '$12.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 13656:   '$10.000,00', '$5.000,00', '$10.000,00', '$12.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 13660:   '$11.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13701:   '$102.000.000'
CtIDH_Casos_Esp_20170222.pdf in page 13803:   '$2.260,46'
CtIDH_Casos_Esp_20170222.pdf in page 13805:   '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13806:   '$25.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13813:   '$20.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13868:   '$350,00'
CtIDH_Casos_Esp_20170222.pdf in page 13869:   '$323,40', '$323,40', '$416,00', '$92,60'
CtIDH_Casos_Esp_20170222.pdf in page 13895:   '$10.000,00', '$67.550,00', '$41.850,00', '$80.000,00', '$50.000,00', '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13896:   '$50.000,00', '$15.000,00', '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13897:   '$308,00'
CtIDH_Casos_Esp_20170222.pdf in page 13900:   '$10.000,00', '$1.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 13901:   '$323,40'
CtIDH_Casos_Esp_20170222.pdf in page 13903:   '$50.000,00', '$30.000,00', '$10.000,00', '$25.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13906:   '$10,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 13988:   '$7.500.000', '$5.000.000'
CtIDH_Casos_Esp_20170222.pdf in page 13989:   '$5.000.000', '$1.000.000'
CtIDH_Casos_Esp_20170222.pdf in page 14062:   '$19.075.000', '$26.705.000'
CtIDH_Casos_Esp_20170222.pdf in page 14075:   '$11.074', '$4.553', '$15.627', '$4.895.70', '$44.225.68'
